China,Asia,65,No,Severe,One of ADVENT's HQ : Will advise to avoid until the Resistance is stronger
Japan,Asia,120,Yes,Medium,Significant ADVENT activity : All missions in this region will face strong ADVENT patrols
Australia,Asia,110,Yes,Marginal,ADVENT have no foothold here : Resistance territory
Egypt,Africa,55,No,High,Heavily fortified ADVENT territory : Any OPs here will face tough opposition
South Africa,Africa,105,Yes,Low,Light ADVENT activity : While Squads will face opposition they should easily deal with it
Nigeria,Africa,75,Yes,Medium,Significant ADVENT activity : All missions in this region will face strong ADVENT patrols
Germany,Europe,45,No,Severe,One of ADVENT's HQ : Will advise to avoid until the Resistance is stronger
France,Europe,60,No,High,Heavily fortified ADVENT territory : Any OPs here will face tough opposition
Russia,Europe,130,Yes,Low,Light ADVENT activity : While Squads will face opposition they should easily deal with it
Canada,North America,125,Yes,Low,Light ADVENT activity : While Squads will face opposition they should easily deal with it
Mexico,North America,100,Yes,Medium,Significant ADVENT activity : All missions in this region will face strong ADVENT patrols
United States,North America,50,No,High,Heavily fortified ADVENT territory : Any OPs here will face tough opposition
Argentina,South America,95,Yes,Marginal,ADVENT have no foothold here : Resistance territory
Brazil,South America,80,Yes,Low,Light ADVENT activity : While Squads will face opposition they should easily deal with it